group,child,parent
647,backfire,blast
647,airburst,blast
647,fragmentation,blast
647,bomb blast,blast
647,backblast,blast
647,blowback,blast
647,inflation,blast
647,big bang,explosion
647,nuclear explosion,explosion
647,explosion,blast
648,Pick's disease,type of dementia
648,senile dementia,type of dementia
648,Alzheimer's disease,type of dementia
648,alcoholic dementia,type of dementia
648,presenile dementia,type of dementia
648,dementia,type of derangement
648,derangement,type of irrationality
648,insanity,type of irrationality
648,craziness,type of irrationality
648,lunacy,type of irrationality
648,irrationality,type of derangement
649,radius,semidiameter
649,diameter,length
649,circumference,length
649,radius,length
649,extension,length
649,elongation,length
649,shortness,extension
649,longness,extension
649,radius of curvature,radius
649,coextension,extension
649,windage,bore
650,social insurance,social welfare
650,survivors insurance,social insurance
650,old-age insurance,social insurance
650,dole,relief
650,Medicaid,health care
650,social welfare,relief
650,relief,social welfare
650,Medicare,health care
650,national insurance,social insurance
650,supplementary benefit,social welfare
650,primary health care,health care
650,Social Security,social insurance
650,health care,social welfare
650,disability insurance,social insurance
650,unemployment compensation,social insurance
651,helmet,armor plate
651,faceplate,helmet
651,heaume,helmet
651,sallet,helmet
651,casquet,helmet
651,morion,helmet
651,basinet,helmet
651,beaver,helmet
651,visor,helmet
651,pickelhaube,helmet
651,gorget,armor plate
651,plastron,armor plate
651,breastplate,armor plate
651,backplate,armor plate
651,skirt of tasses,armor plate
651,tuille,armor plate
651,armet,helmet
651,vambrace,armor plate
651,rerebrace,armor plate
651,pallette,armor plate
651,cuisse,armor plate
651,greave,armor plate
651,cubitiere,armor plate
651,knee piece,armor plate
651,solleret,armor plate
651,chanfron,armor plate
651,tasset,armor plate
651,roundel,armor plate
651,brassard,armor plate
652,Caloscypha fulgens,discomycete
652,Rufous rubber cup,discomycete
652,Urnula craterium,discomycete
652,Sarcoscypha coccinea,discomycete
652,Peziza domicilina,discomycete
652,Mitrula elegans,discomycete
652,devil's cigar,discomycete
652,devil's urn,discomycete
652,soldier grainy club,grainy club
652,Galiella rufa,discomycete
652,winter urn,discomycete
652,blood cup,discomycete
652,black felt cup,discomycete
652,Jafnea semitosta,discomycete
652,Aleuria aurantia,discomycete
652,charred pancake cup,discomycete
652,grainy club,ascomycete
652,ascomycete,fungus
652,discomycete,fungus
652,Sarcosomataceae,discomycete
652,Clavicipitaceae,ascomycete
652,Leotia lubrica,discomycete
652,Geglossaceae,discomycete
653,teaching reading,teaching
653,Hebrew lesson,language lesson
653,spoonfeeding,teaching
653,catechesis,teaching
653,language teaching,teaching
653,catechetical instruction,teaching
653,sleep-learning,teaching
653,golf lesson,lesson
653,French lesson,language lesson
653,tennis lesson,lesson
653,language lesson,lesson
653,piano lesson,music lesson
653,whole-word method,teaching
653,chalk talk,lecture
653,violin lesson,music lesson
653,brainwashing,indoctrination
653,phonics,teaching
653,German lesson,language lesson
653,music lesson,lesson
653,lecture,teaching
653,indoctrination,teaching
653,talk,lesson
653,tutelage,teaching
653,dance lesson,lesson
654,electrotherapist,therapist
654,herbalist,therapist
654,chiropractor,therapist
654,osteopath,therapist
654,masseur,massager
654,physical therapist,therapist
654,naturopath,therapist
654,psychotherapist,therapist
654,naprapath,therapist
654,masseuse,massager
654,sangoma,therapist
654,speech therapist,therapist
654,curandera,therapist
654,curandero,therapist
654,alleviator,therapist
655,annulet,charge
655,quartering,ordinary
655,fesse,ordinary
655,charge,heraldry
655,chevron,ordinary
655,bend,ordinary
655,heraldry,coat of arms
655,fleur-de-lis,charge
655,coat of arms,heraldry
655,bar sinister,ordinary
656,Catholic Church,church
656,Eastern Church,church
656,Orthodox Church,church
656,Greek Orthodox Church,Eastern Church
656,Russian Orthodox Church,Eastern Church
656,Nestorian Church,Eastern Church
656,Armenian Church,Eastern Church
656,Uniat Church,Eastern Church
656,Old Catholic Church,Catholic Church
656,Coptic Church,Eastern Church
656,Protestant Church,church
656,Roman Catholic,Catholic Church
656,Unification Church,Protestant Church
656,Pentecostal religion,Protestant Church.
657,fish knife,knife
657,wooden spoon,spoon
657,teaspoon,spoon
657,spoon,cutlery
657,iced-tea spoon,spoon
657,tea maker,spoon
657,table knife,knife
657,butter knife,knife
657,carving fork,fork
657,salad fork,fork
657,Spork,spoon
657,case knife,knife
657,fork,cutlery
657,tablefork,fork
657,sugar spoon,spoon
657,runcible spoon,spoon
657,toasting fork,fork
657,tablespoon,spoon
657,soupspoon,spoon
657,steak knife,knife
657,dessert spoon,spoon
658,flourish,swoop
658,partita,part
658,vamp,accompaniment
658,theme song,tune
658,figured bass,bass
658,obbligato,accompaniment
658,secondo,part
658,motif,theme
658,part,accompaniment
658,diminution,variation
658,leitmotiv,motif
658,tune,theme
658,variation,theme
658,canto,voice part
658,roulade,variation
658,inversion,variation
658,theme,statement
658,accompaniment,part
658,primo,part
658,ground bass,bass
658,statement,theme
658,voice part,part
658,descant,voice part
658,signature,theme
658,glissando,swoop
658,bass,voice part
659,diapason,organ stop
659,dulciana,organ stop
659,vox humana,organ stop
659,reed pipe,organ pipe
659,organ pipe,organ stop
659,sourdine,flue stop
659,flue pipe,organ pipe
659,flue stop,organ stop
659,reed stop,organ stop
659,vox angelica,organ stop
660,heat exhaustion,breakdown
660,heatstroke,breakdown
660,nervous breakdown,breakdown
660,neurasthenia,breakdown
660,sunstroke,breakdown
660,hypovolemic shock,shock
660,algidity,breakdown
660,nervous exhaustion,breakdown
660,distributive shock,shock
660,insulin shock,shock
660,obstructive shock,shock
660,shock,breakdown
660,collapse,breakdown
660,cardiogenic shock,shock
661,hand calculator,calculator
661,adding machine,calculator
661,abacus,calculator
661,pulse counter,counter
661,subtracter,calculator
661,Napier's bones,calculator
661,quipu,calculator
661,scaler,calculator
661,adder,calculator
662,monofocal lens implant,lens implant
662,accommodating lens implant,lens implant
662,multifocal lens implant,lens implant
662,breast implant,implant
662,peg,implant
662,obturator,prosthesis
662,shunt,implant
662,glass eye,implant
662,penile implant,implant
662,artificial joint,prosthesis
662,prosthesis,implant
662,Jarvik heart,artificial heart
662,heart valve,implant
662,dental implant,implant
662,lens implant,implant
663,Scotch terrier,terrier
663,silky terrier,terrier
663,rat terrier,terrier
663,fox terrier,terrier
663,wire-haired fox terrier,fox terrier
