,parent,child,group,flag,predicted_labels
0,space,mathematical_space,0,True,True
1,mathematical_space,manifold,0,True,True
2,mathematical_space,metric_space,0,True,True
3,metric_space,Euclidean_space,0,True,False
4,metric_space,Hilbert_space,0,True,False
5,mathematical_space,null_space,0,True,True
6,mathematical_space,subspace,0,True,True
7,space,outer_space,0,True,True
8,space,phase_space,0,True,True
9,phase_space,dynamical_system,0,True,False
10,dynamical_system,chaos,0,True,True
11,interaction,contact,1,True,True
12,contact,brush,1,True,True
13,contact,eye_contact,1,True,True
14,contact,placement,1,True,True
15,interaction,interchange,1,True,True
16,interchange,cross-fertilization,1,True,True
17,interchange,dealings,1,True,True
18,dealings,relation,1,True,True
19,interchange,reciprocity,1,True,True
20,interaction,interplay,1,True,True
21,maneuver,clinch,2,True,True
22,maneuver,flight_maneuver,2,True,True
23,flight_maneuver,bank,2,True,False
24,bank,vertical_bank,2,True,True
25,flight_maneuver,chandelle,2,True,False
26,flight_maneuver,loop,2,True,True
27,loop,inside_loop,2,True,True
28,loop,outside_loop,2,True,True
29,flight_maneuver,roll,2,True,True
30,roll,barrel_roll,2,True,True
31,roll,snap_roll,2,True,True
32,flight_maneuver,slip,2,True,True
33,maneuver,straight-arm,2,True,True
34,success,bell_ringer,3,True,True
35,success,conquest,3,True,True
36,success,coup,3,True,True
37,success,flying_colors,3,True,True
38,success,hit,3,True,True
39,hit,blockbuster,3,True,True
40,hit,sleeper,3,True,True
41,success,overturn,3,True,True
42,success,passing,3,True,True
43,success,score,3,True,True
44,score,basket,3,True,True
45,score,break,3,True,True
46,score,bull's_eye,3,True,True
47,score,conversion,3,True,True
48,conversion,point_after,3,True,True
49,score,equalizer,3,True,True
50,score,field_goal,3,True,True
51,score,goal,3,True,True
52,goal,own_goal,3,True,True
53,score,hat_trick,3,True,True
54,score,open_frame,3,True,True
55,score,run,3,True,True
56,run,earned_run,3,True,True
57,run,run_batted_in,3,True,True
58,run,unearned_run,3,True,True
59,score,safety,3,True,True
60,score,spare,3,True,True
61,score,strike,3,True,True
62,score,touchdown,3,True,True
63,success,seduction,3,True,True
64,seduction,sexual_conquest,3,True,True
65,sexual_conquest,cuckoldry,3,True,True
66,success,solution,3,True,True
67,success,winning,3,True,True
68,failure,breach,4,True,True
69,breach,breach_of_contract,4,True,True
70,breach_of_contract,anticipatory_breach,4,True,False
71,breach_of_contract,breach_of_promise,4,True,False
72,breach_of_contract,breach_of_the_covenant_of_warranty,4,True,True
73,breach_of_contract,breach_of_trust,4,True,False
74,breach_of_contract,breach_of_warranty,4,True,False
75,breach_of_contract,material_breach,4,True,False
76,breach_of_contract,partial_breach,4,True,False
77,breach,breach_of_duty,4,True,True
78,failure,copout,4,True,True
79,failure,disappointment,4,True,True
80,larceny,biopiracy,5,True,False
81,larceny,breach_of_trust_with_fraudulent_intent,5,True,True
82,larceny,embezzlement,5,True,True
83,embezzlement,plunderage,5,True,False
84,embezzlement,raid,5,True,False
85,larceny,grand_larceny,5,True,True
86,larceny,petit_larceny,5,True,True
87,larceny,pilferage,5,True,True
88,larceny,robbery,5,True,True
89,robbery,armed_robbery,5,True,True
90,robbery,caper,5,True,False
91,robbery,dacoity,5,True,False
92,robbery,heist,5,True,True
93,robbery,highjacking,5,True,False
94,highjacking,piracy,5,True,False
95,robbery,highway_robbery,5,True,True
96,robbery,rolling,5,True,False
97,larceny,rustling,5,True,True
98,larceny,shoplifting,5,True,True
99,larceny,skimming,5,True,False
100,tennis_stroke,return,6,True,True
101,return,backhand,6,True,True
102,backhand,two-handed_backhand,6,True,True
103,return,chop,6,True,True
104,return,drive,6,True,True
105,drive,backhand_drive,6,True,True
106,drive,forehand_drive,6,True,True
107,return,drop_shot,6,True,True
108,return,forehand,6,True,True
109,return,get,6,True,True
110,return,ground_stroke,6,True,True
111,return,half_volley,6,True,True
112,return,lob,6,True,True
113,return,overhead,6,True,True
114,return,passing_shot,6,True,True
115,return,volley,6,True,True
116,tennis_stroke,serve,6,True,True
117,serve,ace,6,True,True
118,serve,fault,6,True,True
119,fault,double_fault,6,True,True
120,fault,footfault,6,True,True
121,serve,let,6,True,True
122,appropriation,borrowing,7,True,False
123,borrowing,crossover,7,True,True
124,borrowing,misappropriation,7,True,True
125,borrowing,naturalization,7,True,True
126,appropriation,preemption,7,True,False
127,appropriation,seizure,7,True,False
128,seizure,confiscation,7,True,False
129,confiscation,expropriation,7,True,False
130,seizure,distress,7,True,False
131,seizure,impoundment,7,True,False
132,impoundment,drug_bust,7,True,False
133,seizure,impress,7,True,False
134,seizure,recapture,7,True,False
135,appropriation,sequestration,7,True,False
136,allotment,deal,8,True,False
137,deal,new_deal,8,True,True
138,allotment,grant,8,True,False
139,grant,award,8,True,True
140,award,addiction,8,True,True
141,grant,block_grant,8,True,True
142,grant,grant-in-aid,8,True,True
143,allotment,parcel,8,True,False
144,allotment,rationing,8,True,False
145,allotment,reallotment,8,True,False
146,reallotment,reshuffle,8,True,False
147,proceeding,adoption,9,True,False
148,proceeding,appeal,9,True,True
149,proceeding,bankruptcy,9,True,True
150,proceeding,foreclosure,9,True,False
151,proceeding,hearing,9,True,True
152,hearing,administrative_hearing,9,True,True
153,hearing,competence_hearing,9,True,True
154,hearing,fair_hearing,9,True,True
155,hearing,quo_warranto,9,True,True
156,proceeding,intervention,9,True,True
157,proceeding,lawsuit,9,True,True
158,lawsuit,civil_suit,9,True,True
159,lawsuit,class_action,9,True,True
160,lawsuit,countersuit,9,True,True
161,lawsuit,criminal_suit,9,True,True
162,lawsuit,moot,9,True,True
163,lawsuit,paternity_suit,9,True,False
164,proceeding,legal_action,9,True,True
165,legal_action,antitrust_case,9,True,True
166,legal_action,civil_action,9,True,True
167,legal_action,counterclaim,9,True,True
168,legal_action,custody_case,9,True,True
169,legal_action,lis_pendens,9,True,True
170,legal_action,prosecution,9,True,True
171,prosecution,double_jeopardy,9,True,True
172,legal_action,test_case,9,True,True
173,proceeding,litigation,9,True,True
174,litigation,custody_battle,9,True,True
175,litigation,vexatious_litigation,9,True,True
176,proceeding,naturalization,9,True,True
177,proceeding,procedure,9,True,True
178,procedure,bureaucratic_procedure,9,True,True
179,procedure,objection,9,True,True
180,objection,recusation,9,True,True
181,proceeding,receivership,9,True,False
182,proceeding,review,9,True,True
183,review,bill_of_review,9,True,True
